site_id,first_year,last_year
AR-SLu,2009,2011
AR-Vir,2009,2012
AT-Neu,2002,2012
AU-ASM,2010,2014
AU-Ade,2007,2009
AU-Cpr,2010,2014
AU-Cum,2012,2014
AU-DaP,2007,2013
AU-DaS,2008,2014
AU-Dry,2008,2014
AU-Emr,2011,2013
AU-Fog,2006,2008
AU-GWW,2013,2014
AU-Gin,2011,2014
AU-How,2001,2014
AU-Lox,2008,2009
AU-RDF,2011,2013
AU-Rig,2011,2014
AU-Rob,2014,2014
AU-Stp,2008,2014
AU-TTE,2012,2014
AU-Tum,2001,2014
AU-Wac,2005,2008
AU-Whr,2011,2014
AU-Wom,2010,2014
AU-Ync,2012,2014
BE-Bra,1996,2014
BE-Lon,2004,2014
BE-Vie,1996,2014
BR-Sa1,2002,2011
BR-Sa3,2000,2004
CA-Gro,2003,2014
CA-Man,1994,2008
CA-NS1,2001,2005
CA-NS2,2001,2005
CA-NS3,2001,2005
CA-NS4,2002,2005
CA-NS5,2001,2005
CA-NS6,2001,2005
CA-NS7,2002,2005
CA-Oas,1996,2010
CA-Obs,1997,2010
CA-Qfo,2003,2010
CA-SF1,2003,2006
CA-SF2,2001,2005
CA-SF3,2001,2006
CA-TP1,2002,2014
CA-TP2,2002,2007
CA-TP3,2002,2014
CA-TP4,2002,2014
CA-TPD,2012,2014
CG-Tch,2006,2009
CH-Cha,2005,2014
CH-Dav,1997,2014
CH-Fru,2005,2014
CH-Lae,2004,2014
CH-Oe1,2002,2008
CH-Oe2,2004,2014
CN-Cha,2003,2005
CN-Cng,2007,2010
CN-Dan,2004,2005
CN-Din,2003,2005
CN-Du2,2006,2008
CN-Du3,2009,2010
CN-Ha2,2003,2005
CN-HaM,2002,2004
CN-Qia,2003,2005
CN-Sw2,2010,2012
CZ-BK1,2004,2014
CZ-BK2,2004,2012
CZ-wet,2006,2014
DE-Akm,2009,2014
DE-Geb,2001,2014
DE-Gri,2004,2014
DE-Hai,2000,2012
DE-Kli,2004,2014
DE-Lkb,2009,2013
DE-Lnf,2002,2012
DE-Obe,2008,2014
DE-RuR,2011,2014
DE-RuS,2011,2014
DE-Seh,2007,2010
DE-SfN,2012,2014
DE-Spw,2010,2014
DE-Tha,1996,2014
DE-Zrk,2013,2014
DK-Eng,2005,2008
DK-Fou,2005,2005
DK-Sor,1996,2014
ES-Amo,2007,2012
ES-LJu,2004,2013
ES-LgS,2007,2009
ES-Ln2,2009,2009
FI-Hyy,1996,2014
FI-Jok,2000,2003
FI-Let,2009,2012
FI-Lom,2007,2009
FI-Sod,2001,2014
FR-Fon,2005,2014
FR-Gri,2004,2014
FR-LBr,1996,2008
FR-Pue,2000,2014
GF-Guy,2004,2014
GH-Ank,2011,2014
GL-NuF,2008,2014
GL-ZaF,2008,2011
GL-ZaH,2000,2014
IT-BCi,2004,2014
IT-CA1,2011,2014
IT-CA2,2011,2014
IT-CA3,2011,2014
IT-Col,1996,2014
IT-Cp2,2012,2014
IT-Cpz,1997,2009
IT-Isp,2013,2014
IT-La2,2000,2002
IT-Lav,2003,2014
IT-MBo,2003,2013
IT-Noe,2004,2014
IT-PT1,2002,2004
IT-Ren,1998,2013
IT-Ro1,2000,2008
IT-Ro2,2002,2012
IT-SR2,2013,2014
IT-SRo,1999,2012
IT-Tor,2008,2014
JP-MBF,2003,2005
JP-SMF,2002,2006
MY-PSO,2003,2009
NL-Hor,2004,2011
NL-Loo,1996,2014
PA-SPn,2007,2009
PA-SPs,2007,2009
RU-Che,2002,2005
RU-Cok,2003,2014
RU-Fyo,1998,2014
RU-Ha1,2002,2004
RU-Sam,2002,2014
RU-SkP,2012,2014
RU-Tks,2010,2014
RU-Vrk,2008,2008
SD-Dem,2005,2009
SE-St1,2012,2014
SJ-Adv,2011,2014
SJ-Blv,2008,2009
SN-Dhr,2010,2013
US-AR1,2009,2012
US-AR2,2009,2012
US-ARM,2003,2012
US-ARb,2005,2006
US-ARc,2005,2006
US-Atq,2003,2008
US-Blo,1997,2007
US-CRT,2011,2013
US-Cop,2001,2007
US-GBT,1999,2006
US-GLE,2004,2014
US-Goo,2002,2006
US-Ha1,1991,2012
US-IB2,2004,2011
US-Ivo,2004,2007
US-KS1,2002,2002
US-KS2,2003,2006
US-LWW,1997,1998
US-Lin,2009,2010
US-Los,2000,2014
US-MMS,1999,2014
US-Me1,2004,2005
US-Me2,2002,2014
US-Me3,2004,2009
US-Me4,1996,2000
US-Me5,2000,2002
US-Me6,2010,2014
US-Myb,2010,2014
US-NR1,1998,2014
US-Ne1,2001,2013
US-Ne2,2001,2013
US-Ne3,2001,2013
US-ORv,2011,2011
US-Oho,2004,2013
US-PFa,1995,2014
US-Prr,2010,2014
US-SRC,2008,2014
US-SRG,2008,2014
US-SRM,2004,2014
US-Sta,2005,2009
US-Syv,2001,2014
US-Ton,2001,2014
US-Tw1,2012,2014
US-Tw2,2012,2013
US-Tw3,2013,2014
US-Tw4,2013,2014
US-Twt,2009,2014
US-UMB,2000,2014
US-UMd,2007,2014
US-Var,2000,2014
US-WCr,1999,2014
US-WPT,2011,2013
US-Whs,2007,2014
US-Wi0,2002,2002
US-Wi1,2003,2003
US-Wi2,2003,2003
US-Wi3,2002,2004
US-Wi4,2002,2005
US-Wi5,2004,2004
US-Wi6,2002,2003
US-Wi7,2005,2005
US-Wi8,2002,2002
US-Wi9,2004,2005
US-Wkg,2004,2014
ZA-Kru,2000,2013
ZM-Mon,2000,2009
